task_pair,row_type,n,median_gt_pair_length_px,median_ordering_margin,flip_rate,gt_tie_rate,prediction_tie_rate,correspondence_swap_rate,direct_mre_px,pair_swapped_mre_px,swap_oracle_mre_px,oracle_gain_px,measurement_value_change_mean_abs,measurement_value_change_max_abs,measurement_mae_direct,measurement_mae_swapped,measurement_mae_change
HC / all pairs,task,1998,403.0080644235046,0.7071067811865475,0.07807807807807808,0.0035035035035035035,0.0,0.008008008008008008,19.533077779413375,397.42078607299214,19.040988515971843,0.49208926344153003,0.0,0.0,19.656053604669648,19.656053604669648,0.0
IVC / IVC,pair,19,24.891406147503904,0.8295643242023303,0.0,0.05263157894736842,0.0,0.10526315789473684,49.16352703312797,54.35023986192993,48.840149288257734,0.32337774487022825,0.0,0.0,13.336599403817274,13.336599403817274,0.0
PLAX / LV,pair,85,156.88348319692543,0.9058285711626829,0.0,0.0,0.0,0.0,16.846524997726206,164.84428900946256,16.846524997726206,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / RV,pair,85,88.70860217588823,0.9131557517268797,0.0,0.0,0.0,0.0,15.514071151167458,95.57573075153154,15.514071151167458,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / IVS,pair,85,31.593530983414908,0.9048592012164561,0.0,0.0,0.0,0.0,12.561640636262185,33.5824414725372,12.561640636262185,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / LVPW,pair,85,32.07329886369659,0.8944271909999155,0.0,0.0,0.0,0.0,19.694527605364517,37.76837454877301,19.694527605364517,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / VAO,pair,85,91.52240490721384,0.9867940570133669,0.0,0.0,0.0,0.0,18.040249644499845,90.63701558444552,18.040249644499845,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / STJ,pair,85,75.6,0.9844216041968704,0.0,0.0,0.0,0.0,18.858020107817268,77.46608646727236,18.858020107817268,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / AAO,pair,85,76.44660162492507,0.9794780630194411,0.0,0.0,0.0,0.0,22.18506938894602,78.64716086196316,22.18506938894602,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / AV,pair,85,70.75184379222918,0.9880990412098536,0.0,0.0,0.0,0.0,17.17134910789859,73.68334365585233,17.17134910789859,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / LVOT,pair,85,71.25327010039611,0.9907129032688898,0.0,0.0,0.0,0.0,17.7127148880219,75.01516842755883,17.7127148880219,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / LA,pair,85,103.29629712627647,0.9888492379946667,0.011764705882352941,0.0,0.0,0.011764705882352941,19.786749361545706,108.86755772187774,19.66378702315296,0.12296233839274515,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / RVOT,pair,85,93.55354669920321,0.9398001240207707,0.0,0.0,0.0,0.0,15.55416866758029,99.83679534235371,15.55416866758029,0.0,0.0,0.0,9.044318833044413,9.044318833044413,0.0
PLAX / all pairs,task,935,79.50778389566646,0.9644563529067536,0.0010695187165775401,0.0,0.0,0.0010695187165775401,17.62955323243909,85.08399671305709,17.61837483803975,0.011178394399340468,0.0,0.0,9.044318833044413,9.044318833044413,0.0
fetal_femur / FL,pair,702,325.1021811544862,0.10859076012395981,0.08547008547008547,0.004273504273504274,0.0,0.005698005698005698,20.181112182843556,344.4472740418981,20.020634980824628,0.16047720201892907,0.0,0.0,16.099117971543784,16.099117971543784,0.0
Controls / pooled pairs,control,4914,358.0,0.7126764482630776,0.04456654456654457,0.10398860398860399,0.0,0.004884004884004884,18.01076596474851,319.7407804603963,17.741782174344287,0.26898379040422504,0.0,0.0,22.676036514725823,22.676036514725823,0.0
AOP / N/A,n_a,4000,,,,,,,,,,,,,,,
