task_id,num_images_anchor,num_points_anchor,mre_anchor,measurement_proxy_anchor,final_proxy_anchor,p50_anchor,p90_anchor,p95_anchor,gt20_rate_anchor,gt40_rate_anchor,num_images_b0,num_points_b0,mre_b0,measurement_proxy_b0,final_proxy_b0,p50_b0,p90_b0,p95_b0,gt20_rate_b0,gt40_rate_b0,num_images_b1,num_points_b1,mre_b1,measurement_proxy_b1,final_proxy_b1,p50_b1,p90_b1,p95_b1,gt20_rate_b1,gt40_rate_b1,delta_mre_b1_minus_b0,delta_mre_b1_minus_anchor,delta_measurement_proxy_b1_minus_b0,delta_measurement_proxy_b1_minus_anchor,delta_final_proxy_b1_minus_b0,delta_final_proxy_b1_minus_anchor,delta_p90_b1_minus_b0,delta_p90_b1_minus_anchor,delta_gt40_rate_b1_minus_b0,delta_gt40_rate_b1_minus_anchor
A4C,92,1472,26.91802283991938,14.941027729407601,20.92952528466349,15.104061603546143,70.40314407348633,107.84465141296387,0.3695652173913043,0.17119565217391305,92,1472,26.639543388200842,14.99189493448838,20.81571916134461,15.094912052154541,69.38841552734377,107.37465705871583,0.36820652173913043,0.16508152173913043,92,1472,26.289735420890477,14.94028141187585,20.615008416383162,15.050678730010986,68.19524307250981,104.24024085998538,0.37092391304347827,0.1610054347826087,-0.34980796731036534,-0.6282874190289043,-0.051613522612530716,-0.0007463175317514725,-0.20071074496144803,-0.31451686828032877,-1.193172454833956,-2.20790100097652,-0.0040760869565217295,-0.010190217391304351
AOP,4000,16000,4.752019471019507,2.632404758691788,3.6922121148556473,3.2024701833724976,10.186812496185304,14.07182097434997,0.0203125,0.0011875,4000,16000,4.428122050367295,2.4871714613437654,3.4576467558555306,2.859101176261902,9.780666542053222,13.61601243019104,0.0183125,0.001125,4000,16000,4.428771066389978,2.487865759372711,3.4583184128813445,2.864250421524048,9.784676647186279,13.608591413497917,0.018375,0.001125,0.0006490160226828579,-0.32324840462952853,0.0006942980289457168,-0.14453899931907666,0.0006716570258138432,-0.23389370197430281,0.004010105133056996,-0.4021358489990252,0.0,-6.250000000000006e-05
FA,500,2000,16.204380222797393,51.10069665527344,33.65253843903542,13.779987812042236,29.94118614196778,36.57270202636719,0.291,0.0315,500,2000,16.133898942947386,50.97189953613281,33.552899239540096,13.834152698516846,30.177101898193364,36.65335140228271,0.284,0.0345,500,2000,16.13373331165314,50.95067822265625,33.5422057671547,13.815178394317627,29.9391832351685,36.63973598480224,0.2845,0.035,-0.00016563129424795875,-0.07064691114425514,-0.02122131347655909,-0.1500184326171876,-0.010693472385398195,-0.1103326718807196,-0.23791866302486397,-0.0020029067992801686,0.0005000000000000004,0.003500000000000003
FUGC,260,520,6.494444787960786,4.019757931049053,5.25710135950492,4.926010847091675,10.805533313751223,12.653404140472405,0.015384615384615385,0.0038461538461538464,260,520,6.454517037593401,4.0279864678016075,5.241251752697504,4.771399021148682,10.727308940887454,12.409689903259276,0.015384615384615385,0.0038461538461538464,260,520,6.452239771072681,4.0279901651235726,5.240114968098126,4.778205394744873,10.712213993072513,12.392340898513792,0.015384615384615385,0.0038461538461538464,-0.0022772665207204668,-0.042205016888105185,3.6973219650349165e-06,0.00823223407451934,-0.00113678459937816,-0.016986391406793366,-0.015094947814940696,-0.09331932067870952,0.0,0.0
HC,999,3996,19.532881044172072,19.65482767160471,19.59385435788839,11.775986194610596,34.06715774536133,56.099955558776855,0.247997997997998,0.07757757757757758,999,3996,19.60328289609891,19.500392734348118,19.551837815223514,11.673170566558838,34.805192947387695,57.121405601501465,0.24874874874874875,0.08108108108108109,999,3996,19.604366868286878,19.511747679075558,19.558057273681218,11.715142250061035,34.749664306640625,56.99226665496826,0.248998998998999,0.08108108108108109,0.001083972187966964,0.07148582411480575,0.011354944727440142,-0.14307999252915238,0.006219458457703553,-0.03579708420717154,-0.05552864074707031,0.6825065612792969,0.0,0.003503503503503508
IVC,19,38,49.1635298477976,13.33661897558915,31.250074411693376,43.78424263000488,98.94047546386719,116.91251106262202,0.7368421052631579,0.5526315789473685,19,38,49.47346346001876,13.197526580408999,31.33549502021388,44.009849548339844,98.18486938476563,117.5612140655517,0.7368421052631579,0.5526315789473685,19,38,49.470506592800746,13.17942042099802,31.324963506899383,44.00888252258301,98.1860664367676,117.56174659728997,0.7368421052631579,0.5526315789473685,-0.002956867218017578,0.30697674500314776,-0.01810615941097815,-0.15719855459112964,-0.010531513314496976,0.07488909520600728,0.001197052001970178,-0.7544090270995838,0.0,0.0
PLAX,85,1870,17.629544335253097,9.044313859238343,13.33692909724572,13.840950012207031,35.41985931396487,46.14419918060299,0.31016042780748665,0.07807486631016043,85,1870,17.61747938815285,9.058810120470383,13.338144754311617,13.849129676818848,35.71504211425782,46.26605358123778,0.31176470588235294,0.07967914438502674,85,1870,17.613435144284193,9.055809046941645,13.334622095612918,13.847822189331055,35.71510200500489,46.26645526885985,0.31122994652406416,0.07967914438502674,-0.004044243868658981,-0.01610919096890484,-0.0030010735287380186,0.011495187703301823,-0.003522658698699388,-0.002307001632802397,5.989074706747033e-05,0.2952426910400163,0.0,0.0016042780748663082
PSAX,43,172,47.4114678405052,22.79379645059275,35.10263214554898,31.98579978942871,107.56543121337891,135.22327957153317,0.6976744186046512,0.4069767441860465,43,172,47.29254815744799,22.18485326545183,34.73870071144991,31.43752384185791,108.53862762451173,134.85363464355467,0.6918604651162791,0.4127906976744186,43,172,47.319391805072165,22.12913100664006,34.72426140585611,31.424857139587402,108.5254623413086,134.80821456909177,0.6918604651162791,0.4127906976744186,0.026843647624176015,-0.09207603543303833,-0.05572225881177317,-0.6646654439526927,-0.014439305593796803,-0.37837073969286905,-0.013165283203136369,0.9600311279296818,0.0,0.005813953488372103
fetal_femur,702,1404,20.181109651880725,16.099107726007446,18.140108688944085,9.655845165252686,24.04648342132569,79.22139587402327,0.14316239316239315,0.0641025641025641,702,1404,20.421662514365977,16.6848916708574,18.553277092611687,9.585356712341309,23.698313522338886,75.54532508850086,0.14245014245014245,0.0633903133903134,702,1404,20.421662514365977,16.6848916708574,18.553277092611687,9.585356712341309,23.698313522338886,75.54532508850086,0.14245014245014245,0.0633903133903134,0.0,0.2405528624852522,0.0,0.585783944849954,0.0,0.4131684036676013,0.0,-0.3481698989868036,0.0,-0.0007122507122507005
