fold,num_images,b0_task_macro_mre,b0_task_macro_measurement_proxy,b0_task_macro_final_proxy,b0_task_macro_p90,b0_task_macro_gt40_rate,b0_pooled_point_p50,b0_pooled_point_p90,b0_pooled_point_p95,b0_pooled_point_gt20_rate,b0_pooled_point_gt40_rate,b0_num_images,b0_num_points,b1_task_macro_mre,b1_task_macro_measurement_proxy,b1_task_macro_final_proxy,b1_task_macro_p90,b1_task_macro_gt40_rate,b1_pooled_point_p50,b1_pooled_point_p90,b1_pooled_point_p95,b1_pooled_point_gt20_rate,b1_pooled_point_gt40_rate,b1_num_images,b1_num_points,delta_task_macro_mre,delta_task_macro_measurement_proxy,delta_task_macro_final_proxy,delta_task_macro_p90,delta_task_macro_gt40_rate,delta_pooled_point_p50,delta_pooled_point_p90,delta_pooled_point_p95,delta_pooled_point_gt20_rate,delta_pooled_point_gt40_rate,final_proxy_improved
0,1345,24.560002236779216,17.844885128259264,21.202443682519235,48.995630243089465,0.1861199929656502,5.789703607559204,23.67442283630371,36.33270034790034,0.13518385003604902,0.04397981254506128,1345,5548,24.51907852790872,17.814552286613647,21.166815407261183,48.90876526302762,0.1855644374100947,5.775939464569092,23.6011194229126,35.98458576202392,0.13536409516943043,0.043619322278298484,1345,5548,-0.040923708870494124,-0.03033284164561678,-0.0356282752580519,-0.08686498006184706,-0.0005555555555555036,-0.013764142990112305,-0.07330341339110902,-0.34811458587642363,0.00018024513338141257,-0.0003604902667627974,True
1,1344,18.5888278897286,17.454473825084946,18.021650857406772,36.39001752005683,0.09519504851039012,5.091030597686768,21.33605041503906,30.386506462097127,0.11221539573545355,0.027827972533429706,1344,5534,18.503430004926265,17.439114195260462,17.971272100093362,36.178903410169816,0.09446405435834335,5.0766685009002686,21.398128128051756,30.28192081451415,0.11221539573545355,0.027466570292735814,1344,5534,-0.08539788480233312,-0.015359629824484244,-0.05037875731341046,-0.2111141098870135,-0.0007309941520467766,-0.014362096786499023,0.0620777130126946,-0.10458564758297584,0.0,-0.00036140224069389215,True
2,1339,26.79550473738773,16.46657237714043,21.631038557264084,53.605745029449466,0.18624131756343637,5.47676420211792,22.51434917449951,33.01564636230466,0.12467913458012468,0.035753575357535754,1339,5454,26.749462500491504,16.45478996011187,21.602126230301685,53.38093493779501,0.18597170972029906,5.473648548126221,22.58895626068115,33.016400146484344,0.12486248624862487,0.035753575357535754,1339,5454,-0.046042236896226996,-0.011782417028559422,-0.028912326962398538,-0.22481009165445442,-0.000269607843137315,-0.0031156539916992188,0.07460708618163991,0.0007537841796860789,0.00018335166850018403,0.0,True
3,1339,19.711658141519347,17.479737839538497,18.595697990528922,39.94207006030613,0.13917146285474677,5.049169063568115,22.033341026306154,32.58704700469968,0.11664841182913473,0.03632712668857247,1339,5478,19.70403717340095,17.476662123825648,18.590349648613298,39.80037805769179,0.1388059657787234,5.052519798278809,22.018755340576174,32.61073532104492,0.1171960569550931,0.03614457831325301,1339,5478,-0.007620968118398963,-0.0030757157128498136,-0.005348341915624388,-0.14169200261434156,-0.00036549707602337445,0.0033507347106933594,-0.014585685729979758,0.023688316345243265,0.0005476451259583681,-0.00018254837531946067,True
4,1333,24.209430258591354,16.18761555807092,20.198522908331135,48.486754491594105,0.13682852777630486,5.18152928352356,22.004271888732912,32.087222862243614,0.11817515573470136,0.035544155368266765,1333,5458,24.20885965228993,16.170943365083964,20.189901508686948,48.50763130187988,0.13682852777630486,5.191068410873413,22.07107162475588,32.01565361022943,0.11835837303041408,0.035544155368266765,1333,5458,-0.0005706063014230267,-0.01667219298695599,-0.008621399644187733,0.02087681028577748,0.0,0.009539127349853516,0.0667997360229684,-0.07156925201418574,0.0001832172957127176,0.0,True
